id,name,score,n_x,benefit_pay,balance,culture,promotion,boarder,recommend,CEO_support,potential,n_y,notice_amount
39789,대신증권(주),2.8,307,2.5,2.9,2.8,2.4,2.2,34,34,12,1474,630260440
23957,신한카드(주),3.2,299,3.6,3,2.8,2.6,2.6,45,47,21,2476,1129380340
24006,신한금융투자(주),3.5,293,3.7,3.4,3.1,3.1,2.8,67,49,35,2499,1104430000
22346,신한라이프생명보험㈜,3.1,287,3.2,3.2,3.2,3.1,2.6,44,51,25,1640,740821720
93328,오케이저축은행(주),2.1,287,2.2,2.2,1.9,2.1,1.8,15,25,21,921,343312080
89835,홍콩상하이은행서울지점,2.7,287,2.4,3.5,3,2.3,2.3,32,38,3,478,202187500
90552,(재)한국장학재단,3.5,278,3.6,3.8,3.3,3,2.9,67,58,31,454,170241960
36108,라이나생명보험(주),2.8,266,3.6,3,2.4,2.9,2.1,36,35,20,763,326210020
3463,한국수출입은행,3.8,258,3.6,3.7,3.7,3.2,3.1,76,69,22,1226,526450780
1200,현대하이라이프손해사정(주),2.5,255,3.2,2.1,2.8,2.1,2.3,18,30,13,746,265133520
34613,메트라이프생명보험(주),3.6,250,3.6,3.7,3.6,3.4,3.1,58,64,30,593,265708920
1224,현대커머셜(주),2.6,249,3.2,2.7,2.9,1.9,2.3,30,35,17,501,204804920
92154,기술보증기금,4.1,244,4.1,4.2,3.9,3.8,3.4,84,67,43,1535,650547320
1986,한화손해보험(주),3,240,3,3,2.9,2.6,2.5,36,44,20,2902,1162179240
48738,한국씨티은행(주),3.2,237,3.5,3.6,3.1,2.6,2.5,54,39,8,2573,1202920260
66178,(주)에스비아이저축은행,3.2,236,3.1,3.5,2.8,2.4,2.4,46,37,28,597,241485220
77124,모아저축은행(주),1.6,237,1.8,1.4,1.4,1.7,1.4,10,16,5,244,81348960
86262,우체국금융개발원(재),2.5,235,2,3.5,2.5,1.8,2.2,26,38,6,755,223513300
35665,롯데손해보험(주),2.5,233,2.7,2.5,2.5,2.6,2.2,24,44,15,1164,460299880
30539,산와대부(주),2,224,2.5,1.6,1.7,2.9,1.5,11,7,8,30,11418080
21953,악사손해보험(주),3.3,222,2.9,3.8,3.4,2.7,2.9,50,62,16,1704,600369500
1985,한화손해사정(주),2.6,222,2.5,3.1,2.8,2.2,2.1,31,27,10,582,175921000
117,흥국생명보험(주),2.5,220,2.3,2.7,2.4,2.4,2,24,21,8,671,268186860
53661,케이비국민카드(주),3.7,206,4,3.8,3.4,3.2,2.8,65,55,19,1481,693052260
92952,삼성화재애니카손해사정(주),2.7,198,3.6,2.4,2.5,2.6,2.3,21,34,24,1476,643229740
24400,신영증권(주),2.8,197,2.7,3.1,2.6,2.5,2.4,38,43,10,667,271760460
45004,공무원연금공단,2.8,196,2.7,3.2,2.8,2.6,2.2,35,24,9,682,248274180
87297,로카모빌리티(주),2.1,192,2,2.5,2.1,2,1.9,25,28,21,113,38669820
94838,유안타증권(주),3.2,190,3.2,3.4,3.1,2.8,2.7,53,45,19,1713,725270800
20225,에이원손해사정(주),2.4,189,2,1.9,2.7,2.7,2.2,15,31,15,559,123004860
82457,대구은행(주),3.7,187,4,3.3,3,3.4,3,77,59,23,3102,1378693200
4132,하나캐피탈(주),2.2,186,2.2,2.3,2.2,2.2,1.8,19,31,18,342,130487200
1242,케이비증권(주),3.5,181,4,3.5,3.1,2.8,2.8,68,53,30,2959,1314456020
82839,(주)다스카손해사정화재해상,2.5,180,2.4,2.1,2.8,2.8,2.3,27,35,16,575,138928400
85745,경남은행(주),3,179,3.8,2.6,2.7,3.1,2.7,45,59,22,2293,1000775360
33586,미래에셋생명보험(주),2.9,179,2.9,3.1,2.8,2.8,2.6,35,49,25,781,359972280
75309,부산은행(주),3.4,166,3.8,2.8,2.8,3.1,2.8,59,54,36,2842,1285554400
16665,케이비캐피탈(주),2.6,165,3,2.9,2.4,2.1,2.3,32,42,19,698,271890260
110,흥국화재해상보험(주),2.6,163,2.3,2.8,2.4,2.5,2.1,23,34,7,1148,463579440
25739,수산업협동조합중앙회,3.1,162,3.3,3.3,2.3,2.7,2.2,50,26,18,1251,532847740
57944,인카금융서비스(주),2.4,160,1.9,2.9,2.6,2.5,2.5,17,45,23,302,88047740
33584,미래에셋증권(주),3.3,159,3.1,3,3.1,3,2.9,53,53,43,3811,1684240760
326339,(주)카카오페이,3.8,156,3.2,3.6,3.9,3.5,3,63,60,66,966,405667620
35651,롯데캐피탈(주),2.5,156,2.6,3,2.3,2.2,2.2,22,25,12,439,175245700
1976,한화투자증권(주),2.8,155,2.8,2.9,2.6,2.6,2.3,37,49,19,1142,492571180
15625,웰컴크레디라인대부(주),2.3,153,2.6,1.8,2,2.7,2.1,16,44,38,21,7349880
3591,한국무역보험공사,4.1,153,4.2,4.2,4,3.7,3.4,89,74,40,737,308321120
85271,광주은행(주),3.4,152,3.7,3.1,3,3.1,2.9,68,57,17,1557,665716040
155638,(주)에즈금융서비스,2.3,150,2.2,2.2,2.5,2.5,2.2,19,33,31,140,31925820
23986,신한생명보험(주),3.1,150,3.3,3,3,2.9,2.6,46,48,31,1640,740821720
90319,(주)우리카드,2.8,147,3.2,3.3,2.6,2.4,2.2,39,40,11,895,350765100
318225,(주)카카오뱅크,3.7,144,3.6,4.1,3.6,2.9,3.1,68,68,63,1132,505826220
48560,(주)한국투자저축은행,2.9,142,3.3,2.9,2.4,2.4,2.3,34,47,22,418,159927660
45315,고려신용정보(주),2.5,142,2,2.5,2.6,2.3,2.6,19,61,27,806,186509400
19807,엔에이치농협캐피탈(주),2.2,142,2.4,2.7,2,2,1.7,23,22,12,401,140638240
7811,케이디비생명보험(주),2.7,142,3.1,3.2,2.9,2.4,2.2,32,32,10,615,252819880
24382,신용협동조합중앙회,3.9,140,3.7,4.2,3.5,3.5,3.2,77,72,44,630,259190580
53225,(주)케이지제로인,2,139,1.8,3,2.5,2.4,1.6,19,14,6,117,3495768
37549,동양생명보험(주),3.1,139,3,3.3,3.1,2.9,2.7,42,41,19,38,17920800
11648,제이비우리캐피탈(주),2.9,139,3.6,3.2,2.5,2.1,2.4,40,41,21,545,231496940
55997,(주)조이크레디트대부금융,1.9,137,2,1.9,1.8,1.8,1.6,9,11,7,4,1741140
4307,피플라이프(주),2.6,136,2.2,3.2,2.3,2.4,2.1,24,43,17,542,148904920
18129,예금보험공사,4.1,134,3.9,4.2,4,3.2,3.2,82,61,37,758,322563920
316549,제이티친애저축은행(주),2.1,114,1.5,2.9,2.2,2.1,1.8,16,16,11,450,152563760
41473,농협생명보험(주),3.6,133,3.9,3.7,3.2,2.9,2.7,73,53,26,1013,448010680
20277,아프로파이낸셜대부(주),2.5,133,3,2.5,2.3,2.3,2.2,19,41,25,244,92323880
22102,아주캐피탈(주),3,128,3.1,3.3,3,2.6,2.6,39,54,27,545,231496940
21742,에이비엘생명보험(주),3.5,127,3.2,3.6,3.6,3,2.9,54,53,20,13,6130800
14795,유진투자증권(주),2.9,127,3,2.7,2.6,2.7,2.4,43,52,24,864,355784240
64827,(주)에이플러스에셋어드바이저,2.2,123,1.8,2.5,2.2,2.2,2,15,33,20,386,117078800
31019,비엠더블유파이낸셜서비스코리아(주),2.7,118,2.7,3.3,3,2.4,2.5,36,61,14,184,64471040
7776,케이비생명보험(주),2.6,118,2.7,2.4,2.9,2.9,2.4,25,42,29,335,146651360
4627,프라임에셋(주),2.9,115,2.9,3.3,2.8,2.8,2.6,32,48,22,98,34350900
93771,디비씨에이에스손해사정(주),2.2,113,2.5,1.8,2.5,2.7,2.2,15,33,14,584,180445840
69717,신한저축은행(주),2.4,113,2.5,2.6,2.1,2.2,2.1,20,25,17,199,75904640
17828,오릭스캐피탈코리아(주),2.9,112,2.3,3.1,2.8,2.8,2.5,33,45,16,253,91033920
33585,미래에셋자산운용(주),3.5,111,3.4,3.3,3.1,3.2,3.1,64,73,52,592,251096720
20132,현대차증권(주),2.9,110,3,3.6,2.7,2.6,2.5,34,40,19,812,350974380
20301,에이아이지손해보험(주),3.4,110,2.9,3.8,3.3,2.6,2.7,56,54,22,362,161129200
34703,메르세데스벤츠파이낸셜서비스코리아(주),2.6,106,2.6,2.9,3.1,2.5,2.1,29,37,21,102,41148740
14687,유화증권(주),2.3,106,2,3.7,2.5,1.6,1.6,26,15,7,63,17190640
1429,현대라이프생명보험(주),2.6,106,2.5,2.5,2.7,2.5,2.1,18,42,18,424,172896440
20583,에스케이증권(주),3.6,104,3.7,3.7,3.7,3.4,3.3,62,78,17,905,392856400
3280,한국예탁결제원,4.2,103,4.4,4.3,3.7,3.5,3.3,88,69,40,719,322271680
38647,하나손해보험(주),2.9,103,2.6,3.2,2.7,2.5,2.3,36,45,17,657,258541460
41472,농협손해보험(주),3.7,101,3.9,3.9,3.2,2.8,3,69,58,36,766,341825720
53146,애큐온캐피탈(주),2.6,101,3,3.1,2.8,2.1,2.1,24,31,9,241,95065660
31309,브이피(주),2.2,100,2.5,2.9,2.3,2.2,1.8,17,17,10,75,29317340
86732,새마을금고중앙회,3.4,100,4,3.7,2.6,3.4,2.6,63,40,22,974,427875940
13534,이베스트투자증권(주),2.9,100,2.4,3.1,2.7,2.9,2.5,43,55,34,570,231676120
50241,(주)페퍼저축은행,2.2,100,2,2.3,2.2,2.6,2.2,21,61,31,507,189789220
45964,건설근로자공제회,3.1,99,3.9,2.5,2.5,2.7,2.4,51,48,38,203,75805700
339216,(주)한빛자산관리대부,1.7,98,1.6,1.9,1.6,1.6,1.6,9,15,12,117,29495980
